company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
FLUCK AI LTD,15723506,Active,Private limited company,,,2024-05-16,,,62090 82990,"Fluck Ai, Innovation Centre, Knowledge Gateway Boundary Road Colchester CO4 3ZQ United Kingdom"
OPEN INNOVATION AI LTD,14814372,Active,Private limited company,,,2023-04-19,,,62090,"3 Garth Square Bracknell RG42 2HA "
PACE AI LTD,14792798,Active,Private limited company,,,2023-04-11,,,62090 63120,51 Daisy Drive Whittlesey Green Whittlesey Whittlesey PE7 2FZ United Kingdom
SYNERGENCE AI LTD,14860371,Active,Private limited company,,,2023-05-10,,,62012,4 Anthea Drive York YO31 9DD England
TOTAL CLOUD AI LIMITED,14872314,Active,Private limited company,,,2023-05-16,,,62020,Maxi House Halesfield 20 Telford TF7 4QU England
SOCKET AI LIMITED,14842044,Active,Private limited company,,,2023-05-03,,,58290,Garden Flat 18 Harley Road London NW3 3BN England
ASHLAR AI LIMITED,14828334,Active,Private limited company,,,2023-04-26,,,62090,124 City Road London EC1V 2NX England
AI INVESTMENTS GROUP LIMITED,14822662,Active,Private limited company,,,2023-04-24,,,68100 68209,292 Burbury Street Birmingham B19 1TP England
AI LEGAL EXPERTS LIMITED,14827523,Active,Private limited company,,,2023-04-25,,,69102 74909,The Stables Pigdown Lane Hever Edenbridge TN8 7LS England
DICER-AI LTD,14888022,Active,Private limited company,,,2023-05-23,,,62020,Apartment 105 4 Pearson Square London W1T 3BH England
KWIP AI LIMITED,14887723,Active,Private limited company,,,2023-05-23,,,62012,48a Anson Road London N7 0AB England
CP FINTECH AI SOLUTIONS LTD,15760077,Active,Private limited company,,,2024-06-04,,,58290,Westwood House Annie Med Lane South Cave HU15 2HG United Kingdom
APOTHEM AI LTD,14855410,Active,Private limited company,,,2023-05-09,,,62012,112 Wembley Park Drive Wembley HA9 8HS England
NUMANUFACTURING IOT & AI TECHNOLOGIES LTD,14855801,Active,Private limited company,,,2023-05-09,,,61200 62090 63120 63990,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
FETCHTECH AI LTD,15759858,Active,Private limited company,,,2024-06-04,,,62020 62090,10 Great Gables Stevenage SG1 6GL England
WEBUILD-AI LIMITED,15596101,Active,Private limited company,,,2024-03-26,,,62020,5 Farriers Mews London SE15 3XP England
JAWS AI LIMITED,14870984,Active,Private limited company,,,2023-05-16,,,70229,5 Inn Farm Court Lathbury MK16 8JX United Kingdom
SUMMIT AI LTD,15753628,Active,Private limited company,,,2024-06-01,,,63110,3 Lovegrove Acre Dinton Salisbury SP3 5DX United Kingdom
FILMTAILOR AI LTD,15669660,Active,Private limited company,,,2024-04-22,,,58290,160b Graham Road London E8 1BS England
DUFOREST AI LTD,14848874,Active,Private limited company,,,2023-05-05,,,62012 62020 62090,128 City Road London EC1V 2NX United Kingdom
NEURONOVA AI LIMITED,SC812488,Active,Private limited company,,,2024-06-03,,,85310,The Coach House Kiltarlity Beauly IV4 7HW Scotland
CONVERSATIONAL AI SOLUTIONS LTD,14852556,Active,Private limited company,,,2023-05-08,,,62012 62020,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
AUTOMATION-EXPERT AI LTD,15755065,Active,Private limited company,,,2024-06-01,,,62012,12 Paddocks Close Canewdon Rochford SS4 3FA England
AI PROSPERY LTD,15757850,Active,Private limited company,,,2024-06-03,,,47910 63120 64999 73110,20 Wenlock Road London N1 7GU England
TENX AI LIMITED,14981847,Active,Private limited company,,,2023-07-05,,,62020 62090,Building 3 566 Chiswick High Rd Chiswick Park Chiswick W4 5YA United Kingdom
JAAFY AI LTD,14919070,Active,Private limited company,,,2023-06-06,,,62090,9 Chester Place London NW1 4NB England
TOTAL AI GROUP LTD,15553747,Active,Private limited company,,,2024-03-11,,,63120,1 The Briars Waterberry Drive Waterlooville PO7 7YH United Kingdom
AI DEVOPS CONSULTANTS LTD,14769087,Active,Private limited company,,,2023-03-30,,,62020,241 Mitcham Road London SW17 9JQ England
AI KAPITAL LTD,14794306,Active,Private limited company,,,2023-04-12,,,62012 62020 82990,128 City Road London EC1V 2NX United Kingdom
AMATHAMBO AI LIMITED,14811869,Active,Private limited company,,,2023-04-18,,,62090,85 Great Portland Street First Floor London W1W 7LT England
MARKET MENTOR AI LIMITED,14816792,Dissolved,Private limited company,,2024-05-07,2023-04-20,,,62012,167-169 Great Portland Street 5th Floor London W1W 5PF England
OPEN EDUCATION AI CIC,14829337,Active,Private limited company,Community Interest Company (CIC),,2023-04-26,,,62012,71-75 Shelton Street Covent Garden London WC2H 9JQ England
INCEPT AI LTD,15014494,Dissolved,Private limited company,,2024-01-09,2023-07-19,,,62020,Flat 69 The Piper Building Peterborough Road London SW6 3EF England
EASY AI SOLUTIONS.IO LTD,15235981,Active,Private limited company,,,2023-10-25,,,63110 63120 82200 82990,20 Wenlock Road London N1 7GU England
GEMIN-AI REALITY LTD,15237871,Active,Private limited company,,,2023-10-26,,,62012,8 Victoria Road Bunny Nottingham NG11 6QF England
SHORTLIST AI LIMITED,15238371,Active,Private limited company,,,2023-10-26,,,58290,15 Alston Drive Morecambe LA4 6QR England
AI CREW LTD,15239747,Active,Private limited company,,,2023-10-26,,,58290 62012 62020 71129,86-90 Paul Street London EC2A 4NE United Kingdom
AI CONSULTING LAB LTD,15240779,Active,Private limited company,,,2023-10-27,,,62020 71122,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
DATAWYSE AI LIMITED,15241634,Active,Private limited company,,,2023-10-27,,,62020 62090 63110,20 Wenlock Road London N1 7GU England
ANYMIND AI LTD,15242435,Active,Private limited company,,,2023-10-27,,,62012,20 Wenlock Road London N1 7GU England
AI NOW LIMITED,15247235,Active,Private limited company,,,2023-10-30,,,73120,7 Cliff Terrace Treforest Pontypridd CF37 1RF Wales
GENISYS INNOVATIONS AND AI SOLUTIONS LIMITED,15254674,Active,Private limited company,,,2023-11-02,,,62012 62020,"24 Genisys Innovations And Ai Solutions Limited Business Center , Clichy House Stepney Way E1 3HH United Kingdom"
ANGELS WORLDWIDE AI LIMITED,15269003,Active,Private limited company,,,2023-11-08,,,62020,14 Meadow Grange Drive Willenhall WV12 5YT England
"AI XIANG CHEN CO., LTD",15280077,Active,Private limited company,,,2023-11-13,,,46190 46900 47910 82990,91 The Square Loughton IG10 3FE England
PRESIDENTIAL AI SOLUTIONS LIMITED,15280269,Active,Private limited company,,,2023-11-13,,,58290,237 Thurlestone Road Birmingham B31 4PA England
ROOTALLY AI LTD,15281176,Active,Private limited company,,,2023-11-13,,,62012,128 City Road London EC1V 2NX United Kingdom
AI DATA INNOVATE LTD,15283895,Active,Private limited company,,,2023-11-14,,,62012 62090 63110,20 Wenlock Road London N1 7GU England
AI READY LTD,15190938,Active,Private limited company,,,2023-10-05,,,62090,"Lytchett House 13 Freeland Park Wareham Road Poole BH16 6FA "
UMBRELLA-AI LTD,15194424,Dissolved,Private limited company,,2024-05-07,2023-10-06,,,62020,101 Firbeck Skelmersdale WN8 6PN United Kingdom
NEW HUMAN AI LTD,15216209,Active,Private limited company,,,2023-10-17,,,72190,128 City Road London EC1V 2NX United Kingdom
ALCHEM-AI LTD,14833767,Active,Private limited company,,,2023-04-28,,,62020,2 Port Hall Avenue Brighton BN1 5PL England
MELODIOUS AI LTD,14838272,Active,Private limited company,,,2023-05-01,,,62012,84 Park Lane Harrow HA2 8NL England
FLUX AI SOLUTIONS LTD,14839709,Active,Private limited company,,,2023-05-02,,,62012,Hill View House Behind Town Lane Compton Dundon Somerton TA11 6PT England
SELLE AI LTD,14858140,Active,Private limited company,,,2023-05-10,,,47910 58120 62012 63120,18 Alpha Road London N18 2RL England
RESILIENCE AI LIMITED,SC768989,Dissolved,Private limited company,,2023-10-17,2023-05-11,,,62020,246 Dalriada Crescent Motherwell ML1 3YA Scotland
ZANISTA AI LTD,15085879,Active,Private limited company,,,2023-08-21,,,62090,Flat 116 Falconbrook Gardens 17 Silvertown Way London E16 1PG England
PLATIN AI LTD,15096675,Dissolved,Private limited company,,2024-05-14,2023-08-25,,,62020 62090 63110,20 Wenlock Road London N1 7GU England
ENERGY AI LTD,15370837,Active,Private limited company,,,2023-12-27,,,58290,Suite 1 The Warehouse 12 Ravensbury Terrace London SW18 4RL England
AI PROPERTIES (MIDLANDS) LIMITED,15371053,Active,Private limited company,,,2023-12-27,,,68209,Carleton House 266-268 Stratford Road Shirley Solihull B90 3AD England
EVENT GENIE AI LIMITED,15372128,Active,Private limited company,,,2023-12-28,,,62012,Elscot House Arcadia Avenue London N3 2JU England
AI GALAXY LTD,15373078,Active,Private limited company,,,2023-12-28,,,62090 63110 63120 73110,Hova House 1 Hova Villas Brighton & Hove BN3 3DH England
AI APPLIANCE LTD,15373231,Active,Private limited company,,,2023-12-28,,,62012 62020,20 Wenlock Road London N1 7GU England
AI SAAS LTD,15376075,Active,Private limited company,,,2023-12-29,,,62012,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
ETHICO AI LTD,NI707331,Active,Private limited company,,,2023-12-29,,,62012,14 Mill Green Doagh Ballyclare BT39 0PH Northern Ireland
AI STRATE LTD,15378196,Active,Private limited company,,,2023-12-31,,,62020 62090,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
AI REVOLUTION WORLD LTD,15379458,Active,Private limited company,,,2024-01-01,,,47630 58190,"3rd Floor, 86-90 Paul Street London EC2A 4NE United Kingdom"
BOBO AI METAVERSE LTD,15386646,Active,Private limited company,,,2024-01-04,,,47890 59132 62020 62090,"7 Copperfield Road, Coventry West Midlands, England CV2 4AQ United Kingdom"
GENYX AI LIMITED,15388556,Active,Private limited company,,,2024-01-04,,,62090,9 Hampden Road London N10 2HP England
MORNINGSIDE AI LIMITED,SC794539,Active,Private limited company,,,2024-01-09,,,62020 72190,35/6 Falcon Gardens Edinburgh EH10 4AR Scotland
AI CHAT INNOVATORS LIMITED,15399461,Active,Private limited company,,,2024-01-09,,,62090,85 Great Portland Street First Floor London W1W 7LT England
OCURA AI LIMITED,15399909,Active,Private limited company,,,2024-01-09,,,62020 62090,32 Balmoral Gardens London W13 9UA England
AI SOLICITORS LTD,15402644,Active,Private limited company,,,2024-01-10,,,69102 69109,"2 Southview, Sands Lane Small Dole Henfield BN5 9YD England"
AI PAPERS LTD,15403117,Active,Private limited company,,,2024-01-10,,,62012 62020 85310,9 Scholars Lane Stratford-Upon-Avon CV37 6HE England
AI IN LAW LIMITED,15403182,Active,Private limited company,,,2024-01-10,,,78300,C/O Michael Leong And Company 43 Overstone Road London W6 0AD England
DESIGNWORK AI LIMITED,15407559,Active,Private limited company,,,2024-01-12,,,74100,26 Albert Square Bowdon Altrincham WA14 2ND England
STAR AI NETWORK LIMITED,15408132,Active,Private limited company,,,2024-01-12,,,70221,Office 0124 - 44 Evesham Avenue Grimsby DN34 5RT England
DS & AI LTD,15408262,Active,Private limited company,,,2024-01-12,,,62012 62090 63110,128 City Road London EC1V 2NX United Kingdom
AI NEXUS TECHNOLOGIES LIMITED,15408915,Active,Private limited company,,,2024-01-12,,,62012,1 Eaton Street Mapperley Nottingham NG3 5QL United Kingdom
AI QINFENG LTD,15416005,Active,Private limited company,,,2024-01-16,,,46150 46160 47910 82990,3 Derwent Rd Hexham NE46 1DL United Kingdom
HOJA AI LTD,15417663,Active,Private limited company,,,2024-01-16,,,82990,Flat 2 9 Redmans Road London E1 3AQ England
MAINCORE AI LTD,15421300,Active,Private limited company,,,2024-01-17,,,62090,1 Coles Green Road London NW2 7ET England
TREASURES AI LIMITED,15421684,Active,Private limited company,,,2024-01-17,,,47910,14 Salisbury Avenue Barking IG11 9XW England
APL MEDIA AI LIMITED,15421695,Active,Private limited company,,,2024-01-17,,,64209,Friarswood Chipperfield Road Kings Langley WD4 9JB England
SIMPLY COMPLY AI LIMITED,15424925,Active,Private limited company,,,2024-01-18,,,62020,"63-66 Hatton Garden Fifth Floor, Suite 23 London EC1N 8LE England"
AI SECURITY SYSTEMS LTD,15427728,Active,Private limited company,,,2024-01-19,,,71129 80200,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
AI OASIS LTD,15428090,Active,Private limited company,,,2024-01-19,,,62020,2 Osborne Road London E10 5QW England
ENTERPRISE AI TECHNOLOGY LTD,15117392,Active,Private limited company,,,2023-09-05,,,70229,7 Bell Yard London WC2A 2JR England
AI FOR GOOD GROUP LTD,15319410,Active,Private limited company,,,2023-11-30,,,62012,28 Cross Pit Lane St. Helens WA11 8AJ England
DUMACARE AI LTD,15319183,Active,Private limited company,,,2023-11-30,,,62090,128 City Road London EC1V 2NX United Kingdom
AI SCANNING SYSTEMS LIMITED,15328991,Active,Private limited company,,,2023-12-05,,,84120,Sundene Beech Walk Windlesham GU20 6HB England
SOUNDRE AI LTD,15330082,Active,Private limited company,,,2023-12-05,,,71122,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
TAS AI LTD,15330202,Active,Private limited company,,,2023-12-05,,,69201 69202 69203 70221,10 Monmouth Street Cardiff CF11 6SF Wales
SOCIALSPHERE AI LTD,15332116,Active,Private limited company,,,2023-12-06,,,73110,Flat 17 New Park Court Brixton Hill London SW2 1HS England
DX-AI LIMITED,15336556,Active,Private limited company,,,2023-12-08,,,62020 70229 74100,Elmside Hockering Gardens Woking GU22 7DA England
MM01 AI LIMITED,15342757,Active,Private limited company,,,2023-12-11,,,62012,3rd Floor 43 Upper Grosvenor Street London W1K 2NJ England
ERNST AI LTD,15032945,Active,Private limited company,,,2023-07-27,,,82990,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
QUINTILLION AI LTD,15096206,Dissolved,Private limited company,,2024-04-02,2023-08-25,,,62012,Quintillion Ai Carmine Wharf London E14 1AU England
CLIOS AI LTD,15499767,Active,Private limited company,,,2024-02-18,,,58290 62012 62020,"6th Floor, First Central 200, 2 Lakeside Drive Park Royal London NW10 7FQ United Kingdom"
AI BOTIFY LIMITED,15499876,Active,Private limited company,,,2024-02-18,,,47410,55 Chazey Road Caversham Reading RG4 7DU England
HELPFUL AI LTD,15500977,Active,Private limited company,,,2024-02-18,,,62020,"Back Cottage, Home Farm Road, Faringdon, SN7 8RG England"
LIBERTY AI LTD,15501047,Active,Private limited company,,,2024-02-18,,,62012 62090,128 City Road London EC1V 2NX United Kingdom
ZENITH AI LTD,15503787,Active,Private limited company,,,2024-02-19,,,70229 71129 72190 74909,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
HYPERCYCLE AI LTD,15513208,Active,Private limited company,,,2024-02-22,,,62030,"9 Gaiger Avenue 9 Gaiger Avenue Sherfield-On-Loddon Sherfield-On-Loddon, Hook RG27 0SA England"
PMT AI LTD,15521509,Active,Private limited company,,,2024-02-26,,,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
CENTRE FOR AI STUDIES LTD,NI710656,Active,Private limited company,,,2024-02-26,,,85590,C/O Nbas Chartered Accountants 17 Carnmoney Road Newtownabbey BT36 6HL Northern Ireland
CONDIV AI LTD,15525717,Active,Private limited company,,,2024-02-27,,,62012,Flat 509 New Providence Wharf 1 Fairmont Avenue London E14 9PB England
GENIUS SUITE AI LTD,15528678,Active,Private limited company,,,2024-02-28,,,62012,Ams Accountants Medical Limited Floor 2 9 Portland Street Manchester M1 3BE United Kingdom
DEFINIO AI LIMITED,15542314,Active,Private limited company,,,2024-03-05,,,58290,Flat 102 15 Mallow Street London EC1Y 8RQ England
TENDER PRO AI LIMITED,15543333,Active,Private limited company,,,2024-03-06,,,58290 62090,Downsview House 141-143 Station Road East Oxted RH8 0QE England
AI ULTIMATE AUTOMATIONS LTD,15542723,Active,Private limited company,,,2024-03-06,,,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
MASON AI LIMITED,15546547,Active,Private limited company,,,2024-03-07,,,62012 62020,34 Glebe Road Ashtead KT21 2NT United Kingdom
AI FORGE LATAM LIMITED,15548376,Active,Private limited company,,,2024-03-08,,,82990,1-3 Worship Street 2nd Floor C/O Buckworths London EC2A 2AB United Kingdom
AI LABS TECHNOLOGIES LTD,15549690,Active,Private limited company,,,2024-03-09,,,62020,128 City Road London EC1V 2NX United Kingdom
NOKPAY AI LTD,15550433,Active,Private limited company,,,2024-03-09,,,62090,Unit 10.G.1 Weston Street London SE1 3ER England
AI CONSULTING SERVICES LTD,15550576,Active,Private limited company,,,2024-03-09,,,71122 71200 74100 74909,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
APEIROGON AI LTD,15555619,Active,Private limited company,,,2024-03-12,,,62020,"4th Floor, Silverstream House 45 Fitzroy Street London W1T 6EB England"
QUANT-AI & BLAST LTD,15557751,Active,Private limited company,,,2024-03-12,,,72190,34 High Street Aldridge Walsall WS9 8LZ England
UNCULTURED AI LIMITED,14842429,Active,Private limited company,,,2023-05-03,,,47910 58110 63120 63990,128 City Road London EC1V 2NX United Kingdom
IMPLEMENT AI LTD,14842097,Active,Private limited company,,,2023-05-03,,,62090,"85 Great Portland Street, First Floor London W1W 7LT England"
GALAHAD AI LTD,15724258,Active,Private limited company,,,2024-05-16,,,62012,20 Wenlock Road London N1 7GU England
AI SYSTEMS ENGINEERING LTD,15726041,Active,Private limited company,,,2024-05-17,,,58290 62011 62012,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
AI SEMAS TECHNOLOGIES LTD,SC810834,Active,Private limited company,,,2024-05-17,,,64209,Hvs 45 Rankine Avenue East Kilbride Glasgow G75 0QF United Kingdom
ICE AI LTD,15429900,Active,Private limited company,,,2024-01-22,,,61300 61900 62090,128 City Road London EC1V 2NX United Kingdom
REGEN AI LTD,15432946,Active,Private limited company,,,2024-01-22,,,62020,23 Arun Valley Way Faygate Horsham RH12 0BE England
PROCONSTRUCT AI LTD,15435327,Active,Private limited company,,,2024-01-23,,,43999,Lizvale Farm Lizvale Farm Romford RM4 1HE United Kingdom
LINK AI LTD,15443622,Active,Private limited company,,,2024-01-25,,,74100,48 Cornelia Crescent Poole BH12 1LU England
KIDS CODE AI LTD,15446472,Active,Private limited company,,,2024-01-27,,,85200 85310 85320 85590,128 City Road London EC1V 2NX United Kingdom
HEADSAIL AI LTD,15447153,Active,Private limited company,,,2024-01-27,,,62012,The Frames Unit 305 1 Phipp Street London EC2A 4PS United Kingdom
PROXXI AI LTD,15452942,Active,Private limited company,,,2024-01-30,,,62012,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
SPOTLIGHT AI CONSULTING LIMITED,15456149,Active,Private limited company,,,2024-01-31,,,62020,1 Higher Heath Knutsford Road Cranage Crewe CW4 8FX England
AELIUS AI LIMITED,15456875,Active,Private limited company,,,2024-01-31,,,62090 71111,Westminster House 10 Westminster Road Macclesfield SK10 1BX United Kingdom
LENSLOGIC AI LTD,15457517,Active,Private limited company,,,2024-01-31,,,62020 62090 63110 71121,7 Alverton Court Alverton Court Wigan WN3 4JA England
AI ASPIRE LIMITED,SC797629,Active,Private limited company,,,2024-02-02,,,68209,27 John Neilson Avenue Paisley PA1 2SX Scotland
AI DETAILING AND VALETING LIMITED,15479277,Active,Private limited company,,,2024-02-10,,,81222,3rd Floor 5 Temple Square Temple Street Liverpool L2 5RH United Kingdom
GENTLE WISDOM AI LTD,15488487,Active,Private limited company,,,2024-02-14,,,74909,26 Witherford Way Birmingham B29 4AX England
WITHIN THE BOX AI SERVICES LIMITED,15493416,Active,Private limited company,,,2024-02-15,,,70229,8th Floor 167 Fleet Street London EC4A 2EA United Kingdom
AI SURGICAL SUPPORT LTD,15496522,Active,Private limited company,,,2024-02-17,,,86101,2 Russell Close Dunstable LU6 3RW England
CLOSET AI LTD,15497761,Active,Private limited company,,,2024-02-17,,,58290 62090 85590,2 Frederick Street Kings Cross London WC1X 0ND United Kingdom
TILKI AI LIMITED,15647907,Active,Private limited company,,,2024-04-15,,,62012,82a James Carter Road Mildenhall Bury St. Edmunds IP28 7DE England
MOONFLIP AI DEX LTD,15650078,Active,Private limited company,,,2024-04-16,,,62012 63120,124-128 City Road London EC1V 2NX England
CIPLATO AI LIMITED,15651120,Active,Private limited company,,,2024-04-16,,,58290 62090,37a Vyse Street Hockley Birmingham B18 6JY England
FABRIDGE AI SEMICONDUCTOR TECHNOLOGY LTD,15652622,Active,Private limited company,,,2024-04-16,,,71122,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
ADI LIFESCIENCES AI LTD,15658928,Active,Private limited company,,,2024-04-18,,,71122 71200 72110 72190,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
AI COMMERCE LTD,15660250,Active,Private limited company,,,2024-04-19,,,47910 47990,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
ARKLAB AI LIMITED,15661042,Active,Private limited company,,,2024-04-19,,,62012,68 Dundas Court 29 Dowells Street London SE10 9EA England
GATHERS AI LTD,15665853,Active,Private limited company,,,2024-04-22,,,63110,128 City Road London EC1V 2NX United Kingdom
THE LIFE OF AI LTD,15669504,Active,Private limited company,,,2024-04-22,,,80300 81100 82110 82920,128 City Road London EC1V 2NX United Kingdom
AI SUCCESS LTD,15669570,Active,Private limited company,,,2024-04-22,,,47990 62012 62020 96090,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
SWIFTY AI LIMITED,15670195,Active,Private limited company,,,2024-04-22,,,62090,34 Downshall Avenue Ilford IG3 8NB England
RESISTANT AI LIMITED,15671247,Active,Private limited company,,,2024-04-23,,,58290,Innovation Centre Gallows Hill Warwick CV34 6UW United Kingdom
AI COE HUB LIMITED,15674407,Active,Private limited company,,,2024-04-23,,,62020 62090,3 Chigwell Rise Chigwell IG7 6AB England
SORAW AI LTD,15675625,Active,Private limited company,,,2024-04-24,,,58290 62020 62090,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
LONDON SCHOOL OF AI LTD,15676133,Active,Private limited company,,,2024-04-24,,,85590 85600,128 City Road London EC1V 2NX United Kingdom
AI ART FOUNDATION LTD,15682083,Active,Private limited by guarantee without share capital,,,2024-04-26,,,88990 90020 90040,110 Bishopsgate London EC2N 4AY England
DEPTHO AI LTD,15692167,Active,Private limited company,,,2024-04-29,,,62012,321-323 High Road Romford RM6 6AX England
SUBB AI LTD,15692314,Active,Private limited company,,,2024-04-29,,,62090,64 Plantation Road Tibberton Newport TF10 8NS England
ALTITUDE AI SOLUTIONS LTD,15692748,Active,Private limited company,,,2024-04-30,,,62020,724 Capability Green Luton LU1 3LU England
DORIOT AI LTD,15694523,Active,Private limited company,,,2024-04-30,,,58290 62020,128 City Road London EC1V 2NX United Kingdom
WE AI TRAVEL (UK) LTD,15698586,Active,Private limited company,,,2024-05-01,,,79120,Flat 14 Lucas House Steyne Road London W3 9AU England
PRIORITY MARKETING AI LTD,14853940,Active,Private limited company,,,2023-05-08,,,70229,1 Ripley Avenue Stockport SK2 7DH United Kingdom
AI-CONOMICS LTD.,15729096,Active,Private limited company,,,2024-05-19,,,70229,Flat 4 27 Hill Top Road Oxford OX4 1PD England
AI SECURITY SERVICES LTD,15729288,Active,Private limited company,,,2024-05-19,,,80200,43 Cossington Road Canterbury CT1 3HU United Kingdom
ZS AI TECHNOLOGIES LTD,15729443,Active,Private limited company,,,2024-05-19,,,62012 62020,20 Wenlock Road London N1 7GU England
UNIFIED AI PLATFORMS LTD,14850127,Active,Private limited company,,,2023-05-05,,,62090,5 Waverley Road Stoke D'Abernon Cobham KT11 2SS England
DOLPHIN AI LTD,15579459,Active,Private limited company,,,2024-03-20,,,62012,73c Devonshire Road London SE23 3LX England
AGENCY AI LTD,SC803898,Active,Private limited company,,,2024-03-21,,,62012,33 Kittoch Street East Kilbride Glasgow G74 4JW Scotland
KAYA AI LIMITED,15588449,Active,Private limited company,,,2024-03-23,,,62012 62090,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
OPTINEX AI LIMITED,15588455,Active,Private limited company,,,2024-03-23,,,70221,110 High Holborn London WC1V 6JS England
ALPHALOOP AI LTD,15589988,Active,Private limited company,,,2024-03-24,,,62012,2 Peterborough Villas London SW6 2AT England
OPTIMA AI LTD,15593889,Active,Private limited company,,,2024-03-26,,,62090 74100 74909,124 City  Road London EC1V 2NX United Kingdom
YELLOW SUBMARINE AI LTD,15594562,Active,Private limited company,,,2024-03-26,,,62012,Technologies House 26 Hampstead Ave Mildenhall Bury Saint Edmunds IP28 7AS United Kingdom
AI TELECOMS LTD,15604360,Active,Private limited company,,,2024-03-30,,,61100 61200,81 Slate Street Sheffield S2 3HB England
CODESPHERE AI LTD,15604460,Active,Private limited company,,,2024-03-30,,,62012,150 Forest Road Fishponds Bristol BS16 3SN England
