ID,Day,Incidence,Brand,Quantity,Last_Inc_Brand,Last_Inc_Quantity,Price_1,Price_2,Price_3,Price_4,Price_5,Promotion_1,Promotion_2,Promotion_3,Promotion_4,Promotion_5,Customer ID
200000060,380,0,0,0,0,0,1.21,1.87,2.02,2.21,2.71,1,0,0,0,0,100000636
200000061,381,0,0,0,0,0,1.24,1.87,2.02,2.21,2.71,1,0,0,0,0,100000636
200000062,395,0,0,0,0,0,1.34,1.89,2.02,1.94,2.7,0,1,0,1,0,100000636
200000063,402,0,0,0,0,0,1.47,1.89,2.02,2.21,2.69,0,0,0,0,0,100000636
200000064,410,0,0,0,0,0,1.33,1.89,2.02,2.21,2.7,0,0,0,0,0,100000636
200000065,419,0,0,0,0,0,1.34,1.89,2.02,2.21,2.65,0,0,0,1,0,100000636
200000066,423,0,0,0,0,0,1.34,1.89,2.02,2.21,2.65,0,0,0,1,0,100000636
200000067,425,0,0,0,0,0,1.34,1.57,2.02,1.98,2.64,0,1,0,1,1,100000636
200000068,435,0,0,0,0,0,1.38,1.77,2.02,2.18,2.66,0,0,0,0,0,100000636
200000069,456,0,0,0,0,0,1.48,1.77,2.02,2.21,2.7,0,0,0,0,0,100000636
200000070,463,0,0,0,0,0,1.35,1.57,2.02,2.21,2.7,1,1,0,0,0,100000636
200000071,470,0,0,0,0,0,1.39,1.36,2.02,2.21,2.7,0,1,0,0,0,100000636
200000072,477,0,0,0,0,0,1.26,1.88,1.99,2.21,2.7,1,0,0,0,0,100000636
200000073,484,0,0,0,0,0,1.39,1.88,2.01,2.21,2.7,0,0,0,0,0,100000636
200000074,491,0,0,0,0,0,1.33,1.57,2.06,2.21,2.58,1,1,0,0,0,100000636
200000075,494,0,0,0,0,0,1.33,1.57,2.06,2.21,2.58,1,1,0,0,0,100000636
200000076,497,0,0,0,0,0,1.33,1.57,2.06,2.21,2.58,0,0,0,0,0,100000636
200000077,510,0,0,0,0,0,1.34,1.88,2.07,2.26,2.43,0,0,0,0,0,100000636
200000078,517,0,0,0,0,0,1.47,1.51,2.07,1.96,2.64,0,1,0,1,0,100000636
200000079,543,0,0,0,0,0,1.47,1.56,2.05,2.26,2.59,0,1,0,0,0,100000636
200000080,547,1,2,2,0,0,1.35,1.89,2.07,2.26,2.63,1,0,0,0,0,100000636
200000081,562,1,2,3,2,1,1.33,1.51,2.07,2.26,2.62,1,1,0,0,0,100000636
200000082,569,0,0,0,2,1,1.48,1.89,2.07,2.26,2.6,0,0,0,0,0,100000636
200000083,583,0,0,0,0,0,1.34,1.57,2.01,2.24,2.72,0,1,0,0,0,100000636
200000084,590,0,0,0,0,0,1.26,1.89,2.06,2.19,2.49,1,0,0,1,0,100000636
200000085,596,0,0,0,0,0,1.35,1.83,2.06,2.24,2.59,1,1,0,0,0,100000636
200000086,604,0,0,0,0,0,1.41,1.81,2.06,2.24,2.79,0,0,0,0,0,100000636
200000087,611,0,0,0,0,0,1.32,1.89,2.06,2.24,2.75,1,0,0,0,0,100000636
200000088,612,0,0,0,0,0,1.32,1.89,2.06,2.24,2.75,0,1,0,0,0,100000636
200000089,629,0,0,0,0,0,1.25,1.89,2.11,2.24,2.79,1,0,1,0,0,100000636
200000090,637,0,0,0,0,0,1.31,1.56,2,2.24,2.79,1,1,1,0,0,100000636
200000091,644,0,0,0,0,0,1.5,1.85,2.06,2.24,2.79,1,0,0,0,0,100000636
200000092,648,0,0,0,0,0,1.5,1.85,2.06,2.24,2.79,0,0,0,0,0,100000636
200000093,649,0,0,0,0,0,1.5,1.85,2.06,2.24,2.79,0,0,0,0,0,100000636
200000094,656,0,0,0,0,0,1.26,1.88,2.06,2.24,2.78,1,1,0,0,0,100000636
200000095,670,0,0,0,0,0,1.42,1.86,2.06,2.24,2.72,0,0,0,0,0,100000636
200000096,682,0,0,0,0,0,1.34,1.85,2.06,2.24,2.77,1,1,0,0,0,100000636
200000097,689,0,0,0,0,0,1.5,1.87,2.06,2.24,2.78,0,0,0,0,0,100000636
200000098,702,1,5,1,0,0,1.41,1.85,2,2.24,2.79,0,0,1,0,0,100000636
200000099,717,0,0,0,5,1,1.5,1.8,2.14,2.24,2.75,0,0,0,0,0,100000636
200000100,726,0,0,0,0,0,1.51,1.82,2.09,2.24,2.8,0,0,0,0,0,100000636
200000101,727,0,0,0,0,0,1.5,1.82,2.09,2.24,2.8,0,0,0,0,0,100000636
200000102,6,1,4,1,0,0,1.59,1.87,2.01,2.09,2.66,0,0,0,0,0,100000585
200000103,11,0,0,0,4,1,1.51,1.89,1.99,2.09,2.66,0,0,0,0,0,100000585
200000104,18,0,0,0,0,0,1.52,1.89,1.99,2.09,2.66,0,0,0,0,0,100000585
200000105,24,0,0,0,0,0,1.5,1.9,1.99,2.09,2.66,0,0,0,0,0,100000585
200000106,25,0,0,0,0,0,1.5,1.9,1.99,2.09,2.66,0,0,0,0,0,100000585
200000107,38,0,0,0,0,0,1.5,1.9,1.99,2.09,2.67,0,0,0,0,0,100000585
200000108,43,0,0,0,0,0,1.35,1.58,1.97,2.09,2.67,1,1,1,0,0,100000585
200000109,50,0,0,0,0,0,1.35,1.87,1.93,2.09,2.34,1,0,1,0,0,100000585
200000110,58,0,0,0,0,0,1.39,1.9,1.91,2.12,2.62,1,0,0,0,1,100000585
200000111,63,0,0,0,0,0,1.39,1.89,1.91,2.12,2.67,0,0,0,0,0,100000585
200000112,72,0,0,0,0,0,1.39,1.89,1.91,2.12,2.54,0,1,0,0,0,100000585
200000113,79,0,0,0,0,0,1.47,1.85,1.95,2.12,2.5,0,0,0,0,1,100000585
200000114,86,0,0,0,0,0,1.39,1.9,1.95,2.12,2.49,0,0,0,0,0,100000585
200000115,94,0,0,0,0,0,1.39,1.58,1.99,2.11,2.61,0,0,0,0,0,100000585
200000116,100,1,4,2,0,0,1.47,1.9,1.95,2.12,2.67,0,0,0,1,0,100000585
200000117,117,0,0,0,4,1,1.43,1.35,1.95,2.16,2.67,1,1,0,0,0,100000585
200000118,129,0,0,0,0,0,1.19,1.89,1.99,2.16,2.67,1,0,0,0,0,100000585
200000119,139,0,0,0,0,0,1.17,1.9,1.99,2.16,2.67,1,0,0,0,0,100000585
200000120,145,0,0,0,0,0,1.36,1.35,1.99,2.16,2.64,0,0,0,0,0,100000585
200000121,152,0,0,0,0,0,1.39,1.9,1.94,2.16,2.51,1,0,0,0,0,100000585
200000122,165,0,0,0,0,0,1.39,1.9,1.94,2.16,2.61,1,0,0,0,0,100000585
200000123,171,0,0,0,0,0,1.39,1.9,1.99,2.16,2.49,0,1,0,0,0,100000585
200000124,185,0,0,0,0,0,1.32,1.88,1.97,1.89,2.49,0,0,0,0,0,100000585
200000125,192,0,0,0,0,0,1.35,1.88,1.99,2.16,2.19,0,1,0,0,0,100000585
200000126,199,0,0,0,0,0,1.49,1.57,1.99,2.16,2.66,0,0,0,0,0,100000585
200000127,204,0,0,0,0,0,1.49,1.9,1.97,2.16,2.34,0,0,0,0,0,100000585
200000128,210,0,0,0,0,0,1.49,1.9,1.99,1.97,2.66,0,0,0,1,0,100000585
200000129,218,0,0,0,0,0,1.34,1.89,1.99,2.13,2.36,0,0,0,0,0,100000585
200000130,220,0,0,0,0,0,1.34,1.89,1.99,2.13,2.67,0,1,0,1,0,100000585
200000131,227,0,0,0,0,0,1.27,1.52,1.95,1.97,2.67,1,1,0,1,0,100000585
200000132,230,0,0,0,0,0,1.27,1.52,1.95,1.97,2.67,1,1,0,1,0,100000585
200000133,231,0,0,0,0,0,1.27,1.52,1.95,1.97,2.67,1,0,0,0,0,100000585
200000134,244,0,0,0,0,0,1.46,1.89,1.91,2.16,2.67,0,0,0,0,0,100000585
200000135,252,0,0,0,0,0,1.46,1.89,1.99,2.16,2.67,0,1,0,0,0,100000585
200000136,264,0,0,0,0,0,1.37,1.26,1.96,2.16,2.67,1,1,0,0,0,100000585
200000137,270,0,0,0,0,0,1.37,1.27,1.96,2.16,2.67,1,0,0,0,0,100000585
200000138,277,0,0,0,0,0,1.4,1.89,2,2.16,2.64,0,0,0,0,0,100000585
200000139,283,1,4,3,0,0,1.37,1.89,2,2.14,2.64,0,0,0,0,0,100000585
200000140,290,0,0,0,4,1,1.49,1.89,2,2.17,2.67,0,0,0,0,0,100000585
200000141,296,0,0,0,0,0,1.48,1.89,2.01,2.18,2.69,0,0,0,0,0,100000585
200000142,307,1,4,1,0,0,1.34,1.89,2.01,2.03,2.68,1,0,0,1,0,100000585
200000143,310,0,0,0,4,1,1.2,1.89,2.01,2.03,2.7,0,1,0,0,0,100000585
200000144,324,0,0,0,0,0,1.33,1.89,1.98,2.21,2.7,0,0,0,1,0,100000585
200000145,331,0,0,0,0,0,1.47,1.89,2.01,1.9,2.7,0,0,0,1,0,100000585
200000146,336,0,0,0,0,0,1.47,1.89,2.02,1.9,2.69,0,0,0,0,0,100000585
200000147,349,0,0,0,0,0,1.29,1.89,1.97,2.21,2.61,1,1,0,0,0,100000585
200000148,354,0,0,0,0,0,1.23,1.81,1.97,2.21,2.66,1,1,0,0,0,100000585
200000149,363,0,0,0,0,0,1.27,1.89,2.02,2.2,2.67,0,1,0,0,0,100000585
200000150,384,0,0,0,0,0,1.23,1.87,2.02,2.21,2.71,0,0,0,0,0,100000585
200000151,392,0,0,0,0,0,1.47,1.89,2.02,1.94,2.7,0,1,0,1,0,100000585
200000152,417,0,0,0,0,0,1.34,1.89,2.02,2.21,2.65,0,0,0,1,0,100000585
200000153,419,0,0,0,0,0,1.34,1.89,2.02,2.21,2.65,0,0,0,1,0,100000585
200000154,422,1,4,1,0,0,1.34,1.89,2.02,2.21,2.65,0,0,0,1,0,100000585
200000155,423,0,0,0,4,1,1.34,1.89,2.02,2.21,2.65,0,0,0,1,0,100000585
200000156,430,0,0,0,0,0,1.34,1.57,2.02,1.98,2.64,0,1,0,0,0,100000585
200000157,440,0,0,0,0,0,1.47,1.89,2.02,2.18,2.64,0,1,0,0,0,100000585
200000158,451,0,0,0,0,0,1.47,1.77,2.02,2.21,2.7,0,0,0,0,0,100000585
200000159,458,0,0,0,0,0,1.47,1.48,2.02,2.21,2.7,0,1,0,0,0,100000585
200000160,459,1,4,1,0,0,1.47,1.48,2.02,2.21,2.7,0,1,0,0,0,100000585
200000161,468,1,4,2,4,1,1.28,1.36,2.02,2.21,2.68,0,1,0,0,0,100000585
200000162,471,1,4,3,4,1,1.39,1.36,2.02,2.21,2.7,0,0,0,0,0,100000585
200000163,479,0,0,0,4,1,1.35,1.88,1.99,2.21,2.7,0,0,0,0,0,100000585
200000164,498,1,2,3,0,0,1.19,1.57,2.06,2.21,2.54,0,0,0,0,1,100000585
200000165,508,1,4,1,2,1,1.34,1.88,2.07,2.26,2.49,0,0,0,0,0,100000585
200000166,531,0,0,0,4,1,1.35,1.89,2.07,2.26,2.66,0,0,0,0,0,100000585
200000167,538,1,4,2,0,0,1.47,1.86,2.07,2.26,2.64,0,1,0,0,0,100000585
200000168,548,0,0,0,4,1,1.35,1.89,2.07,2.26,2.63,1,0,0,0,0,100000585
200000169,561,0,0,0,0,0,1.33,1.51,2.07,2.26,2.62,1,1,0,0,0,100000585
200000170,571,0,0,0,0,0,1.5,1.89,2.01,2.26,2.64,0,0,0,0,0,100000585
200000171,585,0,0,0,0,0,1.5,1.57,2.01,2.24,2.55,0,0,0,1,0,100000585
200000172,592,0,0,0,0,0,1.42,1.89,2.06,2.19,2.39,1,0,0,0,0,100000585
200000173,600,0,0,0,0,0,1.39,1.83,2.06,2.24,2.77,0,0,0,0,0,100000585
200000174,612,0,0,0,0,0,1.32,1.89,2.06,2.24,2.75,0,1,0,0,0,100000585
200000175,632,0,0,0,0,0,1.41,1.89,2.11,2.24,2.79,0,1,0,0,0,100000585
200000176,644,0,0,0,0,0,1.5,1.85,2.06,2.24,2.79,1,0,0,0,0,100000585
200000177,646,0,0,0,0,0,1.5,1.85,2.06,2.24,2.79,0,0,0,0,0,100000585
200000178,647,0,0,0,0,0,1.5,1.85,2.06,2.24,2.79,0,0,0,0,0,100000585
200000179,658,0,0,0,0,0,1.26,1.88,2.06,2.24,2.79,0,0,0,0,0,100000585
200000180,672,0,0,0,0,0,1.42,1.86,2.06,2.24,2.76,0,0,0,0,0,100000585
200000181,677,0,0,0,0,0,1.42,1.85,2.06,2.24,2.77,0,1,0,0,0,100000585
200000182,685,0,0,0,0,0,1.42,1.87,2.06,2.24,2.77,0,0,0,0,0,100000585
200000183,692,0,0,0,0,0,1.42,1.87,2.06,2.24,2.78,0,1,0,0,0,100000585
200000184,698,0,0,0,0,0,1.42,1.51,1.97,2.24,2.77,0,0,0,0,0,100000585
200000185,709,0,0,0,0,0,1.36,1.84,2.09,2.24,2.8,0,0,0,0,0,100000585
200000186,715,0,0,0,0,0,1.5,1.8,2.09,2.24,2.79,0,0,0,0,0,100000585
200000187,719,0,0,0,0,0,1.5,1.8,2.14,2.24,2.79,0,0,0,0,0,100000585
200000188,729,0,0,0,0,0,1.5,1.82,2.09,2.24,2.8,0,0,0,0,0,100000585
200000189,5,1,2,3,0,0,1.59,1.87,1.97,2.09,2.66,0,0,0,0,0,100001630
200000190,9,0,0,0,2,1,1.51,1.89,1.99,2.09,2.66,0,0,0,0,0,100001630
200000191,12,0,0,0,0,0,1.51,1.89,1.99,2.09,2.66,0,0,0,0,0,100001630
200000192,22,0,0,0,0,0,1.5,1.9,1.99,2.09,2.66,0,0,0,0,0,100001630
200000193,26,0,0,0,0,0,1.5,1.9,1.99,2.09,2.67,0,0,0,0,0,100001630
200000194,49,0,0,0,0,0,1.35,1.87,1.93,2.09,2.59,1,0,1,0,0,100001630
200000195,56,0,0,0,0,0,1.39,1.9,1.91,2.12,2.62,1,0,1,0,1,100001630
200000196,70,0,0,0,0,0,1.39,1.89,1.91,2.12,2.67,1,0,0,0,0,100001630
200000197,71,0,0,0,0,0,1.39,1.89,1.91,2.12,2.67,1,1,0,0,0,100001630
200000198,78,0,0,0,0,0,1.47,1.85,1.95,2.12,2.5,0,0,0,0,1,100001630
200000199,85,0,0,0,0,0,1.47,1.9,1.95,2.12,2.44,0,1,0,0,0,100001630
200000200,92,0,0,0,0,0,1.39,1.46,1.99,2.12,2.4,0,0,0,0,0,100001630
200000201,99,0,0,0,0,0,1.47,1.9,1.95,2.12,2.67,0,0,0,1,0,100001630
200000202,117,0,0,0,0,0,1.43,1.35,1.95,2.16,2.67,1,1,0,0,0,100001630
200000203,125,0,0,0,0,0,1.39,1.84,1.93,2.16,2.67,1,0,0,0,0,100001630
200000204,132,0,0,0,0,0,1.19,1.89,1.99,2.16,2.67,1,0,0,0,0,100001630
200000205,133,0,0,0,0,0,1.19,1.89,1.99,2.16,2.67,1,0,0,0,0,100001630
200000206,137,0,0,0,0,0,1.19,1.89,1.99,2.16,2.67,1,1,0,0,0,100001630
200000207,144,0,0,0,0,0,1.21,1.35,1.99,2.16,2.67,1,0,0,0,0,100001630
200000208,151,0,0,0,0,0,1.39,1.9,1.99,2.16,2.64,1,0,0,0,0,100001630
200000209,163,0,0,0,0,0,1.39,1.9,1.94,2.16,2.61,1,0,0,0,0,100001630
200000210,173,1,5,1,0,0,1.49,1.5,1.97,2.16,2.49,0,1,0,0,0,100001630
200000211,175,0,0,0,5,1,1.48,1.5,1.97,2.16,2.49,0,1,0,0,0,100001630
200000212,177,0,0,0,0,0,1.48,1.5,1.99,2.16,2.49,0,0,0,1,0,100001630
200000213,190,1,5,1,0,0,1.35,1.88,1.99,2.16,2.44,0,0,0,0,0,100001630
200000214,191,0,0,0,5,1,1.35,1.88,1.99,2.16,2.43,0,1,0,0,0,100001630
200000215,198,0,0,0,0,0,1.35,1.56,1.99,2.16,2.66,0,0,0,0,0,100001630
200000216,205,0,0,0,0,0,1.49,1.9,1.97,2.16,2.34,0,0,0,0,0,100001630
200000217,212,0,0,0,0,0,1.49,1.78,1.99,1.97,2.67,0,0,0,0,0,100001630
200000218,226,0,0,0,0,0,1.27,1.52,1.95,1.97,2.67,1,1,0,1,0,100001630
200000219,230,0,0,0,0,0,1.27,1.52,1.95,1.97,2.67,1,1,0,1,0,100001630
200000220,231,0,0,0,0,0,1.27,1.52,1.95,1.97,2.67,1,0,0,0,0,100001630
200000221,238,0,0,0,0,0,1.46,1.89,1.89,2.16,2.67,0,0,0,0,0,100001630
200000222,243,0,0,0,0,0,1.46,1.89,1.89,2.16,2.67,0,0,0,0,0,100001630
200000223,250,0,0,0,0,0,1.46,1.89,1.99,2.15,2.66,0,1,0,0,0,100001630
200000224,257,0,0,0,0,0,1.46,1.57,2,2.16,2.64,0,1,0,0,0,100001630
200000225,264,1,2,2,0,0,1.37,1.26,1.96,2.16,2.67,1,1,0,0,0,100001630
200000226,265,0,0,0,2,1,1.37,1.26,1.96,2.16,2.67,1,1,0,0,0,100001630
200000227,269,0,0,0,0,0,1.37,1.26,1.96,2.16,2.67,1,0,0,0,0,100001630
200000228,276,0,0,0,0,0,1.4,1.89,2,2.16,2.64,0,0,0,0,0,100001630
200000229,283,0,0,0,0,0,1.37,1.89,2,2.14,2.64,0,0,0,0,0,100001630
200000230,290,0,0,0,0,0,1.49,1.89,2,2.17,2.67,0,0,0,0,0,100001630
200000231,298,0,0,0,0,0,1.48,1.89,2.01,2.18,2.69,0,0,0,0,0,100001630
200000232,302,0,0,0,0,0,1.48,1.89,1.97,2.18,2.68,0,0,0,1,0,100001630
200000233,309,0,0,0,0,0,1.34,1.89,2.01,2.03,2.69,0,1,0,0,0,100001630
200000234,323,0,0,0,0,0,1.33,1.89,1.98,2.21,2.7,0,0,0,1,0,100001630
200000235,332,0,0,0,0,0,1.47,1.89,2.01,1.9,2.7,0,0,0,1,0,100001630
200000236,342,0,0,0,0,0,1.4,1.89,2.02,2.02,2.6,1,0,0,0,0,100001630
200000237,355,0,0,0,0,0,1.26,1.81,1.97,2.21,2.66,1,1,0,0,0,100001630
200000238,356,0,0,0,0,0,1.23,1.81,1.97,2.21,2.67,0,0,0,0,0,100001630
200000239,363,0,0,0,0,0,1.27,1.89,2.02,2.2,2.67,0,1,0,0,0,100001630
200000240,377,0,0,0,0,0,1.21,1.87,2.02,2.21,2.71,1,0,0,0,0,100001630
200000241,382,0,0,0,0,0,1.24,1.87,2.02,2.21,2.71,0,0,0,0,0,100001630
200000242,389,0,0,0,0,0,1.47,1.89,2.02,2.21,2.7,0,0,0,1,0,100001630
200000243,396,0,0,0,0,0,1.47,1.89,2.02,1.94,2.69,0,0,0,0,0,100001630
200000244,410,0,0,0,0,0,1.33,1.89,2.02,2.21,2.7,0,0,0,0,0,100001630
200000245,417,0,0,0,0,0,1.34,1.89,2.02,2.21,2.65,0,0,0,1,0,100001630
200000246,420,0,0,0,0,0,1.34,1.89,2.02,2.21,2.65,0,0,0,1,0,100001630
200000247,423,0,0,0,0,0,1.34,1.89,2.02,2.21,2.65,0,0,0,1,0,100001630
200000248,429,0,0,0,0,0,1.34,1.57,2.02,1.98,2.65,0,1,0,0,0,100001630
200000249,436,0,0,0,0,0,1.38,1.57,2.02,2.18,2.67,0,1,0,0,0,100001630
200000250,443,0,0,0,0,0,1.47,1.77,2.02,2.18,2.64,0,0,0,0,0,100001630
200000251,450,0,0,0,0,0,1.47,1.57,2.02,2.21,2.7,0,0,0,0,0,100001630
200000252,463,0,0,0,0,0,1.35,1.57,2.02,2.21,2.7,1,1,0,0,0,100001630
200000253,464,0,0,0,0,0,1.35,1.57,2.02,2.21,2.7,0,1,0,0,0,100001630
200000254,471,0,0,0,0,0,1.39,1.36,2.02,2.21,2.7,0,0,0,0,0,100001630
200000255,478,0,0,0,0,0,1.26,1.88,1.99,2.21,2.7,0,0,0,0,0,100001630
200000256,485,0,0,0,0,0,1.39,1.88,2.01,2.21,2.7,1,1,0,0,0,100001630
200000257,492,0,0,0,0,0,1.33,1.57,2.06,2.21,2.58,1,1,0,0,0,100001630
200000258,497,0,0,0,0,0,1.33,1.57,2.06,2.21,2.58,0,0,0,0,0,100001630
200000259,504,0,0,0,0,0,1.21,1.89,2.07,2.21,2.53,0,0,0,0,0,100001630
200000260,518,0,0,0,0,0,1.47,1.51,2.07,1.96,2.64,0,0,0,0,0,100001630
200000261,530,0,0,0,0,0,1.35,1.89,2.07,2.26,2.63,0,0,0,0,0,100001630
200000262,537,0,0,0,0,0,1.47,1.86,2.07,2.26,2.66,0,1,0,0,0,100001630
200000263,544,0,0,0,0,0,1.46,1.56,2.05,2.26,2.59,0,0,0,0,0,100001630
200000264,552,0,0,0,0,0,1.35,1.89,2.07,2.26,2.63,0,0,0,0,0,100001630
200000265,569,0,0,0,0,0,1.48,1.89,2.07,2.26,2.6,0,0,0,0,0,100001630
200000266,570,0,0,0,0,0,1.48,1.89,2.07,2.26,2.6,0,0,0,0,0,100001630
200000267,584,0,0,0,0,0,1.5,1.57,2.01,2.24,2.73,1,0,0,1,0,100001630
200000268,591,0,0,0,0,0,1.42,1.89,2.06,2.19,2.49,1,0,0,0,0,100001630
200000269,598,0,0,0,0,0,1.5,1.83,2.06,2.24,2.59,0,0,0,0,0,100001630
200000270,605,0,0,0,0,0,1.41,1.83,2.06,2.24,2.79,0,0,0,0,0,100001630
200000271,619,0,0,0,0,0,1.48,1.57,2.06,2.24,2.79,0,0,0,0,0,100001630
200000272,631,0,0,0,0,0,1.41,1.89,2.11,2.24,2.79,0,1,0,0,0,100001630
200000273,638,0,0,0,0,0,1.47,1.56,2,2.24,2.79,1,0,0,0,0,100001630
200000274,649,0,0,0,0,0,1.5,1.85,2.06,2.24,2.79,0,0,0,0,0,100001630
200000275,663,0,0,0,0,0,1.37,1.8,2.06,2.24,2.76,1,1,0,0,0,100001630
200000276,664,0,0,0,0,0,1.37,1.8,2.06,2.24,2.76,0,0,0,0,0,100001630
